V01301 V04001 V04002 V04003 V12001_701 V13003_701
59758 2018 2 1 10.1000 76.3000 
59758 2018 2 2 13.1000 70.5000 
59758 2018 2 3 11.9000 58.3000 
59758 2018 2 4 13.4000 61.0000 
59758 2018 2 5 11.9000 54.5000 
59758 2018 2 6 11.6000 56.8000 
59758 2018 2 7 13.1000 68.8000 
59758 2018 2 8 14.1000 58.8000 
59758 2018 2 9 15.6000 82.8000 
59758 2018 2 10 18.0000 90.8000 
59758 2018 2 11 15.8000 82.8000 
59758 2018 2 12 15.4000 74.5000 
59758 2018 2 13 15.8000 75.0000 
59758 2018 2 14 18.0000 84.0000 
59758 2018 2 15 19.1000 90.0000 
59758 2018 2 16 20.6000 88.0000 
59758 2018 2 17 21.2000 85.0000 
59758 2018 2 18 21.4000 89.5000 
59758 2018 2 19 22.2000 89.8000 
59758 2018 2 20 22.2000 88.5000 
59758 2018 2 21 22.8000 86.3000 
59758 2018 2 22 19.5000 93.3000 
59758 2018 2 23 15.2000 96.3000 
59758 2018 2 24 18.8000 95.3000 
59758 2018 2 25 20.0000 94.3000 
59758 2018 2 26 19.7000 89.8000 
59758 2018 2 27 19.7000 92.5000 
59758 2018 2 28 21.1000 92.5000 
59758 2018 3 1 22.1000 88.8000 
59758 2018 3 2 24.6000 83.5000 
59758 2018 3 3 26.1000 79.8000 
59758 2018 3 4 27.5000 73.0000 
59758 2018 3 5 25.7000 78.8000 
59758 2018 3 6 25.4000 83.5000 
59758 2018 3 7 25.4000 80.8000 
59758 2018 3 8 16.7000 91.8000 
59758 2018 3 9 15.8000 66.3000 
59758 2018 3 10 18.3000 67.3000 
59758 2018 3 11 18.9000 81.0000 
59758 2018 3 12 20.5000 86.5000 
59758 2018 3 13 21.0000 86.3000 
59758 2018 3 14 20.8000 92.5000 
59758 2018 3 15 22.5000 78.0000 
59758 2018 3 16 23.2000 83.5000 
59758 2018 3 17 23.8000 79.0000 
59758 2018 3 18 24.3000 79.3000 
59758 2018 3 19 22.9000 86.5000 
59758 2018 3 20 20.9000 77.8000 
59758 2018 3 21 18.6000 64.5000 
59758 2018 3 22 18.1000 75.5000 
59758 2018 3 23 20.8000 75.3000 
59758 2018 3 24 22.3000 76.5000 
59758 2018 3 25 23.4000 76.8000 
59758 2018 3 26 22.6000 83.5000 
59758 2018 3 27 23.0000 80.5000 
59758 2018 3 28 23.0000 77.5000 
59758 2018 3 29 23.4000 80.0000 
59758 2018 3 30 24.1000 76.8000 
59758 2018 3 31 23.3000 81.5000 
59758 2018 4 1 23.3000 81.3000 
59758 2018 4 2 23.8000 76.3000 
59758 2018 4 3 24.6000 73.3000 
59758 2018 4 4 23.7000 75.8000 
59758 2018 4 5 24.4000 77.3000 
59758 2018 4 6 22.8000 79.5000 
59758 2018 4 7 16.3000 78.3000 
59758 2018 4 8 19.1000 63.8000 
59758 2018 4 9 21.6000 76.8000 
59758 2018 4 10 24.0000 77.8000 
59758 2018 4 11 25.6000 78.8000 
59758 2018 4 12 27.4000 71.8000 
59758 2018 4 13 28.7000 68.8000 
59758 2018 4 14 28.4000 70.8000 
59758 2018 4 15 21.9000 89.5000 
59758 2018 4 16 20.3000 91.8000 
59758 2018 4 17 20.8000 84.5000 
59758 2018 4 18 22.8000 91.0000 
59758 2018 4 19 24.7000 88.5000 
59758 2018 4 20 26.3000 82.5000 
59758 2018 4 21 27.0000 78.8000 
59758 2018 4 22 27.7000 77.0000 
59758 2018 4 23 28.4000 75.8000 
59758 2018 4 24 28.0000 78.8000 
59758 2018 4 25 26.0000 90.0000 
59758 2018 4 26 25.4000 88.8000 
59758 2018 4 27 24.9000 94.0000 
59758 2018 4 28 25.5000 89.5000 
59758 2018 4 29 26.4000 88.8000 
59758 2018 4 30 25.8000 92.0000 
59758 2018 5 1 27.3000 80.8000 
59758 2018 5 2 27.4000 85.3000 
59758 2018 5 3 28.2000 79.5000 
59758 2018 5 4 27.7000 79.8000 
59758 2018 5 5 28.2000 78.0000 
59758 2018 5 6 27.8000 79.3000 
59758 2018 5 7 29.6000 75.8000 
59758 2018 5 8 27.9000 80.0000 
59758 2018 5 9 27.9000 80.0000 
59758 2018 5 10 25.5000 90.3000 
59758 2018 5 11 28.2000 81.0000 
59758 2018 5 12 27.8000 81.8000 
59758 2018 5 13 28.0000 81.8000 
59758 2018 5 14 28.8000 78.8000 
59758 2018 5 15 29.3000 72.3000 
59758 2018 5 16 29.7000 73.5000 
59758 2018 5 17 29.9000 70.0000 
59758 2018 5 18 30.2000 70.3000 
59758 2018 5 19 29.3000 75.5000 
59758 2018 5 20 28.9000 76.5000 
59758 2018 5 21 29.1000 78.8000 
59758 2018 5 22 28.4000 78.8000 
59758 2018 5 23 28.7000 75.8000 
59758 2018 5 24 28.7000 75.3000 
59758 2018 5 25 28.5000 75.5000 
59758 2018 5 26 30.0000 73.5000 
59758 2018 5 27 30.0000 74.0000 
59758 2018 5 28 28.5000 81.5000 
59758 2018 5 29 28.4000 77.5000 
59758 2018 5 30 29.4000 73.0000 
59758 2018 5 31 30.0000 71.5000 
59758 2018 6 1 30.2000 75.3000 
59758 2018 6 2 30.1000 75.8000 
59758 2018 6 3 29.4000 77.3000 
59758 2018 6 4 27.9000 85.0000 
59758 2018 6 5 27.0000 90.3000 
59758 2018 6 6 25.4000 96.8000 
59758 2018 6 7 26.9000 92.0000 
59758 2018 6 8 27.8000 85.3000 
59758 2018 6 9 28.8000 79.5000 
59758 2018 6 10 29.0000 83.0000 
59758 2018 6 11 29.0000 81.8000 
59758 2018 6 12 30.3000 73.8000 
59758 2018 6 13 30.1000 67.0000 
59758 2018 6 14 26.6000 89.3000 
59758 2018 6 15 27.2000 87.0000 
59758 2018 6 16 26.3000 89.5000 
59758 2018 6 17 27.1000 83.0000 
59758 2018 6 18 27.4000 84.0000 
59758 2018 6 19 29.5000 79.3000 
59758 2018 6 20 30.2000 74.0000 
59758 2018 6 21 30.6000 74.0000 
59758 2018 6 22 30.0000 76.5000 
59758 2018 6 23 29.2000 76.0000 
59758 2018 6 24 29.0000 83.0000 
59758 2018 6 25 27.5000 80.8000 
59758 2018 6 26 27.7000 80.5000 
59758 2018 6 27 28.3000 83.0000 
59758 2018 6 28 28.3000 76.0000 
59758 2018 6 29 29.5000 76.8000 
59758 2018 6 30 30.5000 71.5000 
59758 2018 7 1 30.9000 73.0000 
59758 2018 7 2 30.2000 72.5000 
59758 2018 7 3 30.6000 69.5000 
59758 2018 7 4 31.2000 67.8000 
59758 2018 7 5 31.6000 69.5000 
59758 2018 7 6 30.3000 70.8000 
59758 2018 7 7 29.2000 74.3000 
59758 2018 7 8 28.9000 75.0000 
59758 2018 7 9 28.6000 80.3000 
59758 2018 7 10 26.8000 90.5000 
59758 2018 7 11 28.2000 85.5000 
59758 2018 7 12 29.0000 81.3000 
59758 2018 7 13 26.9000 89.5000 
59758 2018 7 14 27.2000 87.5000 
59758 2018 7 15 27.8000 85.8000 
59758 2018 7 16 27.1000 89.3000 
59758 2018 7 17 28.1000 85.8000 
59758 2018 7 18 27.4000 87.5000 
59758 2018 7 19 27.7000 88.5000 
59758 2018 7 20 27.5000 88.0000 
59758 2018 7 21 27.8000 87.8000 
59758 2018 7 22 26.4000 90.5000 
59758 2018 7 23 26.3000 92.0000 
59758 2018 7 24 26.2000 93.3000 
59758 2018 7 25 27.8000 85.0000 
59758 2018 7 26 27.4000 86.5000 
59758 2018 7 27 27.0000 84.8000 
59758 2018 7 28 25.4000 93.8000 
59758 2018 7 29 27.1000 87.0000 
59758 2018 7 30 28.0000 83.0000 
59758 2018 7 31 28.7000 79.3000 
59758 2018 8 1 29.7000 76.8000 
59758 2018 8 2 29.3000 76.0000 
59758 2018 8 3 28.4000 74.8000 
59758 2018 8 4 28.0000 83.8000 
59758 2018 8 5 28.6000 84.5000 
59758 2018 8 6 29.3000 78.5000 
59758 2018 8 7 29.1000 82.0000 
59758 2018 8 8 29.1000 81.0000 
59758 2018 8 9 28.3000 86.8000 
59758 2018 8 10 26.1000 96.5000 
59758 2018 8 11 25.4000 94.0000 
59758 2018 8 12 25.5000 93.3000 
59758 2018 8 13 25.3000 94.8000 
59758 2018 8 14 26.3000 88.8000 
59758 2018 8 15 25.5000 96.0000 
59758 2018 8 16 27.5000 85.8000 
59758 2018 8 17 27.7000 88.0000 
59758 2018 8 18 27.4000 88.0000 
59758 2018 8 19 28.4000 84.8000 
59758 2018 8 20 28.1000 85.0000 
59758 2018 8 21 27.8000 86.5000 
59758 2018 8 22 28.4000 83.3000 
59758 2018 8 23 27.5000 86.8000 
59758 2018 8 24 26.3000 91.0000 
59758 2018 8 25 27.7000 83.8000 
59758 2018 8 26 27.6000 85.0000 
59758 2018 8 27 26.9000 86.0000 
59758 2018 8 28 26.3000 87.0000 
59758 2018 8 29 26.6000 87.0000 
59758 2018 8 30 28.3000 82.0000 
59758 2018 8 31 28.9000 83.0000 
59758 2018 9 1 28.1000 85.5000 
59758 2018 9 2 27.4000 88.3000 
59758 2018 9 3 27.2000 85.8000 
59758 2018 9 4 27.6000 81.8000 
59758 2018 9 5 28.2000 80.8000 
59758 2018 9 6 29.7000 75.3000 
59758 2018 9 7 29.5000 79.0000 
59758 2018 9 8 27.2000 87.5000 
59758 2018 9 9 25.5000 91.0000 
59758 2018 9 10 25.7000 92.0000 
59758 2018 9 11 27.2000 82.3000 
59758 2018 9 12 27.8000 75.8000 
59758 2018 9 13 26.9000 83.3000 
59758 2018 9 14 28.0000 84.5000 
59758 2018 9 15 27.5000 88.3000 
59758 2018 9 16 28.0000 84.3000 
59758 2018 9 17 26.2000 90.8000 
59758 2018 9 18 27.4000 90.0000 
59758 2018 9 19 28.2000 83.0000 
59758 2018 9 20 27.3000 82.8000 
59758 2018 9 21 27.7000 78.8000 
59758 2018 9 22 28.0000 79.0000 
59758 2018 9 23 28.0000 82.8000 
59758 2018 9 24 28.4000 80.8000 
59758 2018 9 25 28.1000 83.0000 
59758 2018 9 26 28.1000 80.0000 
59758 2018 9 27 28.1000 75.5000 
59758 2018 9 28 26.2000 86.8000 
59758 2018 9 29 25.9000 79.3000 
59758 2018 9 30 25.8000 76.3000 
59758 2018 10 1 26.0000 77.8000 
59758 2018 10 2 26.8000 70.0000 
59758 2018 10 3 27.0000 71.0000 
59758 2018 10 4 26.3000 71.0000 
59758 2018 10 5 25.9000 64.8000 
59758 2018 10 6 25.6000 67.5000 
59758 2018 10 7 26.0000 65.8000 
59758 2018 10 8 25.3000 82.3000 
59758 2018 10 9 26.7000 79.3000 
59758 2018 10 10 26.2000 79.5000 
59758 2018 10 11 24.5000 80.3000 
59758 2018 10 12 24.8000 78.3000 
59758 2018 10 13 25.7000 79.5000 
59758 2018 10 14 26.3000 84.8000 
59758 2018 10 15 27.0000 86.5000 
59758 2018 10 16 27.4000 82.3000 
59758 2018 10 17 26.2000 88.3000 
59758 2018 10 18 24.7000 89.5000 
59758 2018 10 19 25.8000 88.5000 
59758 2018 10 20 25.6000 88.5000 
59758 2018 10 21 26.3000 84.3000 
59758 2018 10 22 26.8000 81.0000 
59758 2018 10 23 26.1000 83.8000 
59758 2018 10 24 26.3000 82.0000 
59758 2018 10 25 27.0000 81.0000 
59758 2018 10 26 27.0000 77.0000 
59758 2018 10 27 25.7000 78.3000 
59758 2018 10 28 25.7000 67.0000 
59758 2018 10 29 24.4000 65.3000 
59758 2018 10 30 24.6000 59.5000 
59758 2018 10 31 24.7000 50.0000 
59758 2018 11 1 24.0000 50.8000 
59758 2018 11 2 24.2000 64.8000 
59758 2018 11 3 23.6000 82.5000 
59758 2018 11 4 24.4000 82.0000 
59758 2018 11 5 25.3000 87.3000 
59758 2018 11 6 26.0000 83.3000 
59758 2018 11 7 25.9000 82.5000 
59758 2018 11 8 24.6000 86.8000 
59758 2018 11 9 24.6000 84.8000 
59758 2018 11 10 25.3000 85.8000 
59758 2018 11 11 25.6000 82.8000 
59758 2018 11 12 25.4000 82.3000 
59758 2018 11 13 25.5000 79.8000 
59758 2018 11 14 25.8000 80.8000 
59758 2018 11 15 25.2000 85.5000 
59758 2018 11 16 25.8000 87.8000 
59758 2018 11 17 25.8000 83.0000 
59758 2018 11 18 26.3000 81.3000 
59758 2018 11 19 24.7000 88.3000 
59758 2018 11 20 25.8000 83.5000 
59758 2018 11 21 25.9000 86.5000 
59758 2018 11 22 20.5000 82.5000 
59758 2018 11 23 21.8000 75.0000 
59758 2018 11 24 22.8000 80.3000 
59758 2018 11 25 22.1000 76.8000 
59758 2018 11 26 21.1000 77.3000 
59758 2018 11 27 21.3000 87.0000 
59758 2018 11 28 20.6000 95.5000 
59758 2018 11 29 21.6000 95.8000 
59758 2018 11 30 24.1000 88.0000 
59758 2018 12 1 24.9000 85.0000 
59758 2018 12 2 25.1000 83.3000 
59758 2018 12 3 24.3000 88.8000 
59758 2018 12 4 24.4000 88.8000 
59758 2018 12 5 23.9000 91.3000 
59758 2018 12 6 25.0000 90.8000 
59758 2018 12 7 24.2000 92.3000 
59758 2018 12 8 21.4000 93.3000 
59758 2018 12 9 20.1000 90.5000 
59758 2018 12 10 18.9000 94.8000 
59758 2018 12 11 18.5000 91.0000 
59758 2018 12 12 14.9000 86.0000 
59758 2018 12 13 14.9000 89.5000 
59758 2018 12 14 16.9000 88.8000 
59758 2018 12 15 18.9000 91.5000 
59758 2018 12 16 18.7000 85.8000 
59758 2018 12 17 17.9000 78.3000 
59758 2018 12 18 19.4000 78.3000 
59758 2018 12 19 21.9000 86.8000 
59758 2018 12 20 23.7000 85.3000 
59758 2018 12 21 23.4000 88.5000 
59758 2018 12 22 22.9000 90.5000 
59758 2018 12 23 22.1000 86.0000 
59758 2018 12 24 19.2000 94.3000 
59758 2018 12 25 20.8000 97.5000 
59758 2018 12 26 22.5000 89.3000 
59758 2018 12 27 22.2000 86.5000 
59758 2018 12 28 21.6000 75.0000 
59758 2018 12 29 16.5000 84.8000 
59758 2018 12 30 14.0000 87.3000 
59758 2018 12 31 11.3000 86.8000 
59758 2019 1 1 12.7000 86.0000 
59758 2019 1 2 13.0000 84.5000 
59758 2019 1 3 15.0000 97.0000 
59758 2019 1 4 19.1000 99.0000 
59758 2019 1 5 19.7000 98.3000 
59758 2019 1 6 19.9000 94.3000 
59758 2019 1 7 21.4000 92.5000 
59758 2019 1 8 21.1000 92.0000 
59758 2019 1 9 21.3000 88.5000 
59758 2019 1 10 21.5000 95.0000 
59758 2019 1 11 22.5000 91.0000 
