V01301 V04001 V04002 V04003 V12001_701 V13003_701
53614 2018 7 1 22.2000 75.8000 
53614 2018 7 2 22.4000 75.5000 
53614 2018 7 3 22.4000 68.0000 
53614 2018 7 4 24.0000 54.3000 
53614 2018 7 5 26.1000 53.0000 
53614 2018 7 6 25.1000 56.5000 
53614 2018 7 7 23.7000 61.3000 
53614 2018 7 8 23.4000 60.0000 
53614 2018 7 9 23.8000 54.5000 
53614 2018 7 10 21.2000 67.0000 
53614 2018 7 11 24.8000 52.5000 
53614 2018 7 12 27.2000 47.0000 
53614 2018 7 13 27.4000 51.5000 
53614 2018 7 14 27.7000 56.3000 
53614 2018 7 15 25.4000 60.0000 
53614 2018 7 16 27.0000 54.3000 
53614 2018 7 17 29.0000 52.3000 
53614 2018 7 18 29.3000 52.5000 
53614 2018 7 19 28.0000 57.3000 
53614 2018 7 20 22.2000 81.3000 
53614 2018 7 21 22.0000 71.5000 
53614 2018 7 22 24.9000 71.3000 
53614 2018 7 23 22.3000 75.8000 
53614 2018 7 24 23.0000 66.8000 
53614 2018 7 25 25.2000 62.0000 
53614 2018 7 26 26.8000 55.8000 
53614 2018 7 27 28.9000 51.5000 
53614 2018 7 28 28.1000 58.0000 
53614 2018 7 29 27.8000 58.3000 
53614 2018 7 30 29.1000 58.3000 
53614 2018 7 31 27.8000 56.0000 
53614 2018 8 1 26.8000 58.8000 
53614 2018 8 2 27.8000 55.5000 
53614 2018 8 3 27.5000 58.3000 
53614 2018 8 4 28.4000 55.5000 
53614 2018 8 5 29.7000 45.3000 
53614 2018 8 6 25.7000 63.8000 
53614 2018 8 7 23.5000 77.3000 
53614 2018 8 8 23.8000 78.0000 
53614 2018 8 9 23.8000 81.5000 
53614 2018 8 10 22.0000 83.8000 
53614 2018 8 11 24.0000 76.0000 
53614 2018 8 12 24.9000 65.0000 
53614 2018 8 13 23.5000 71.5000 
53614 2018 8 14 24.5000 66.5000 
53614 2018 8 15 26.2000 63.8000 
53614 2018 8 16 22.8000 62.0000 
53614 2018 8 17 18.7000 82.3000 
53614 2018 8 18 21.0000 76.3000 
53614 2018 8 19 24.4000 70.5000 
53614 2018 8 20 23.6000 72.5000 
53614 2018 8 21 20.0000 78.5000 
53614 2018 8 22 19.5000 73.0000 
53614 2018 8 23 22.0000 66.0000 
53614 2018 8 24 23.3000 51.8000 
53614 2018 8 25 22.7000 61.5000 
53614 2018 8 26 22.8000 67.3000 
53614 2018 8 27 23.9000 62.0000 
53614 2018 8 28 22.8000 65.0000 
53614 2018 8 29 25.0000 54.5000 
53614 2018 8 30 22.3000 71.5000 
53614 2018 8 31 20.4000 85.0000 
53614 2018 9 1 19.9000 89.8000 
53614 2018 9 2 18.8000 82.0000 
53614 2018 9 3 19.3000 57.3000 
53614 2018 9 4 19.1000 53.5000 
53614 2018 9 5 21.5000 50.3000 
53614 2018 9 6 17.8000 29.3000 
53614 2018 9 7 14.6000 47.3000 
53614 2018 9 8 15.4000 50.8000 
53614 2018 9 9 14.4000 66.0000 
53614 2018 9 10 17.3000 68.5000 
53614 2018 9 11 17.8000 66.8000 
53614 2018 9 12 18.7000 61.3000 
53614 2018 9 13 18.7000 63.5000 
53614 2018 9 14 16.9000 56.3000 
53614 2018 9 15 13.7000 47.8000 
53614 2018 9 16 12.7000 60.8000 
53614 2018 9 17 12.6000 76.8000 
53614 2018 9 18 14.5000 77.5000 
53614 2018 9 19 17.6000 67.0000 
53614 2018 9 20 15.8000 51.0000 
53614 2018 9 21 13.7000 30.5000 
53614 2018 9 22 11.6000 44.8000 
53614 2018 9 23 12.3000 44.5000 
53614 2018 9 24 14.3000 48.0000 
53614 2018 9 25 17.4000 62.0000 
53614 2018 9 26 17.0000 59.5000 
53614 2018 9 27 14.7000 54.8000 
53614 2018 9 28 12.2000 49.3000 
53614 2018 9 29 12.3000 45.3000 
53614 2018 9 30 11.3000 39.8000 
53614 2018 10 1 9.7000 52.3000 
53614 2018 10 2 9.4000 59.8000 
53614 2018 10 3 10.8000 60.3000 
53614 2018 10 4 14.1000 47.3000 
53614 2018 10 5 11.8000 40.8000 
53614 2018 10 6 8.0000 33.0000 
53614 2018 10 7 7.2000 57.3000 
53614 2018 10 8 8.9000 45.5000 
53614 2018 10 9 6.9000 39.8000 
53614 2018 10 10 7.4000 44.0000 
53614 2018 10 11 8.5000 37.0000 
53614 2018 10 12 9.2000 42.8000 
53614 2018 10 13 10.0000 52.8000 
53614 2018 10 14 11.4000 61.3000 
53614 2018 10 15 9.9000 64.3000 
53614 2018 10 16 9.5000 55.5000 
53614 2018 10 17 10.7000 49.8000 
53614 2018 10 18 11.7000 70.0000 
53614 2018 10 19 11.0000 73.0000 
53614 2018 10 20 9.3000 79.0000 
53614 2018 10 21 9.4000 72.3000 
53614 2018 10 22 8.9000 36.3000 
53614 2018 10 23 6.4000 58.3000 
53614 2018 10 24 8.2000 58.0000 
53614 2018 10 25 10.4000 14.0000 
53614 2018 10 26 4.3000 32.0000 
53614 2018 10 27 5.0000 39.3000 
53614 2018 10 28 5.8000 42.5000 
53614 2018 10 29 8.8000 37.5000 
53614 2018 10 30 12.0000 16.3000 
53614 2018 10 31 6.7000 37.0000 
53614 2018 11 1 6.3000 51.3000 
