V01301 V04001 V04002 V04003 V12001_701 V13003_701
53772 2018 2 1 -6.7000 36.8000 
53772 2018 2 2 -7.9000 23.8000 
53772 2018 2 3 -10.4000 34.8000 
53772 2018 2 4 -8.4000 33.3000 
53772 2018 2 5 -5.9000 32.0000 
53772 2018 2 6 -5.8000 30.5000 
53772 2018 2 7 -3.3000 21.5000 
53772 2018 2 8 -7.0000 33.3000 
53772 2018 2 9 -1.2000 26.0000 
53772 2018 2 10 -4.6000 20.0000 
53772 2018 2 11 -6.8000 21.5000 
53772 2018 2 12 -3.8000 22.8000 
53772 2018 2 13 -1.6000 26.5000 
53772 2018 2 14 -0.4000 27.5000 
53772 2018 2 15 -1.8000 32.8000 
53772 2018 2 16 -0.1000 31.0000 
53772 2018 2 17 0.1000 28.5000 
53772 2018 2 18 1.6000 45.0000 
53772 2018 2 19 3.3000 35.5000 
53772 2018 2 20 0.5000 51.8000 
53772 2018 2 21 -1.1000 39.8000 
53772 2018 2 22 1.0000 28.0000 
53772 2018 2 23 2.2000 27.3000 
53772 2018 2 24 0.9000 37.3000 
53772 2018 2 25 2.2000 39.0000 
53772 2018 2 26 5.3000 30.5000 
53772 2018 2 27 4.2000 42.5000 
53772 2018 2 28 7.2000 52.3000 
53772 2018 3 1 3.3000 27.5000 
53772 2018 3 2 6.3000 41.5000 
53772 2018 3 3 11.5000 44.3000 
53772 2018 3 4 6.7000 59.3000 
53772 2018 3 5 3.6000 78.3000 
53772 2018 3 6 4.0000 62.5000 
53772 2018 3 7 4.8000 49.3000 
53772 2018 3 8 3.3000 35.5000 
53772 2018 3 9 5.0000 44.5000 
53772 2018 3 10 8.2000 46.8000 
53772 2018 3 11 8.5000 49.0000 
53772 2018 3 12 13.1000 54.3000 
53772 2018 3 13 12.9000 55.3000 
53772 2018 3 14 15.1000 35.3000 
53772 2018 3 15 10.1000 46.5000 
53772 2018 3 16 4.3000 40.5000 
53772 2018 3 17 1.0000 83.3000 
53772 2018 3 18 4.0000 86.5000 
53772 2018 3 19 8.3000 41.8000 
53772 2018 3 20 7.2000 47.5000 
53772 2018 3 21 6.6000 52.0000 
53772 2018 3 22 9.9000 53.8000 
53772 2018 3 23 9.9000 53.8000 
53772 2018 3 24 11.3000 47.3000 
53772 2018 3 25 999999.0000 999999.0000 
53772 2018 3 26 13.1000 41.0000 
53772 2018 3 27 16.4000 37.8000 
53772 2018 3 28 17.0000 39.5000 
53772 2018 3 29 13.2000 37.0000 
53772 2018 3 30 13.6000 39.0000 
53772 2018 3 31 17.9000 37.3000 
53772 2018 4 1 18.3000 26.5000 
53772 2018 4 2 19.2000 31.8000 
53772 2018 4 3 11.2000 44.5000 
53772 2018 4 4 1.9000 65.8000 
53772 2018 4 5 4.4000 56.8000 
53772 2018 4 6 3.1000 26.0000 
53772 2018 4 7 7.3000 25.8000 
53772 2018 4 8 14.0000 20.0000 
53772 2018 4 9 15.5000 29.0000 
53772 2018 4 10 18.2000 19.8000 
53772 2018 4 11 15.4000 26.8000 
53772 2018 4 12 16.9000 32.8000 
53772 2018 4 13 9.6000 81.5000 
53772 2018 4 14 9.8000 46.3000 
53772 2018 4 15 10.2000 45.3000 
53772 2018 4 16 13.1000 44.0000 
53772 2018 4 17 17.3000 40.0000 
53772 2018 4 18 20.2000 41.5000 
53772 2018 4 19 22.5000 44.5000 
53772 2018 4 20 21.4000 55.5000 
53772 2018 4 21 18.1000 84.8000 
53772 2018 4 22 11.2000 78.8000 
53772 2018 4 23 14.4000 67.3000 
53772 2018 4 24 14.7000 62.0000 
53772 2018 4 25 16.5000 59.8000 
53772 2018 4 26 17.7000 54.0000 
53772 2018 4 27 18.7000 40.3000 
53772 2018 4 28 21.4000 41.5000 
53772 2018 4 29 22.3000 36.0000 
53772 2018 4 30 21.9000 39.3000 
53772 2018 5 1 17.2000 47.0000 
53772 2018 5 2 15.7000 32.5000 
53772 2018 5 3 16.5000 29.3000 
53772 2018 5 4 21.5000 36.3000 
53772 2018 5 5 19.4000 49.3000 
53772 2018 5 6 18.1000 46.5000 
53772 2018 5 7 18.0000 56.5000 
53772 2018 5 8 18.9000 41.5000 
53772 2018 5 9 19.6000 39.0000 
53772 2018 5 10 21.3000 34.0000 
53772 2018 5 11 16.8000 67.3000 
53772 2018 5 12 18.8000 52.8000 
53772 2018 5 13 22.6000 39.0000 
53772 2018 5 14 25.6000 36.8000 
53772 2018 5 15 24.4000 52.8000 
53772 2018 5 16 25.2000 59.3000 
53772 2018 5 17 23.1000 66.5000 
53772 2018 5 18 22.6000 61.3000 
53772 2018 5 19 15.2000 84.0000 
53772 2018 5 20 14.3000 84.0000 
53772 2018 5 21 14.5000 91.0000 
53772 2018 5 22 17.1000 46.3000 
53772 2018 5 23 17.0000 49.3000 
53772 2018 5 24 20.5000 51.3000 
53772 2018 5 25 24.2000 50.0000 
53772 2018 5 26 20.7000 47.8000 
53772 2018 5 27 20.1000 42.3000 
53772 2018 5 28 23.4000 31.3000 
53772 2018 5 29 22.5000 30.0000 
53772 2018 5 30 21.6000 35.0000 
53772 2018 5 31 22.4000 37.0000 
53772 2018 6 1 22.0000 35.0000 
53772 2018 6 2 23.2000 40.3000 
53772 2018 6 3 22.7000 39.5000 
53772 2018 6 4 23.3000 25.3000 
53772 2018 6 5 24.7000 25.8000 
53772 2018 6 6 25.5000 31.5000 
53772 2018 6 7 25.0000 37.0000 
53772 2018 6 8 18.6000 65.3000 
53772 2018 6 9 15.4000 82.0000 
53772 2018 6 10 17.9000 71.0000 
53772 2018 6 11 21.5000 57.3000 
53772 2018 6 12 20.9000 64.0000 
53772 2018 6 13 22.7000 51.5000 
53772 2018 6 14 23.2000 54.8000 
53772 2018 6 15 23.8000 56.3000 
53772 2018 6 16 22.7000 67.8000 
53772 2018 6 17 19.5000 85.0000 
53772 2018 6 18 22.5000 75.8000 
53772 2018 6 19 24.4000 65.3000 
53772 2018 6 20 24.2000 63.0000 
53772 2018 6 21 20.5000 80.8000 
53772 2018 6 22 23.1000 62.8000 
53772 2018 6 23 25.4000 54.3000 
53772 2018 6 24 27.0000 50.5000 
53772 2018 6 25 23.4000 75.3000 
53772 2018 6 26 25.1000 73.8000 
53772 2018 6 27 27.9000 54.5000 
53772 2018 6 28 27.2000 31.8000 
53772 2018 6 29 24.0000 50.0000 
53772 2018 6 30 23.1000 62.5000 
53772 2018 7 1 24.1000 59.8000 
53772 2018 7 2 24.7000 55.8000 
53772 2018 7 3 25.5000 57.0000 
53772 2018 7 4 23.8000 73.5000 
53772 2018 7 5 26.8000 57.0000 
53772 2018 7 6 27.5000 52.5000 
53772 2018 7 7 23.6000 87.0000 
53772 2018 7 8 22.7000 82.5000 
53772 2018 7 9 19.0000 92.3000 
53772 2018 7 10 19.8000 86.3000 
53772 2018 7 11 20.1000 96.5000 
53772 2018 7 12 23.0000 90.0000 
53772 2018 7 13 23.4000 84.8000 
53772 2018 7 14 26.0000 72.8000 
53772 2018 7 15 25.7000 80.0000 
53772 2018 7 16 25.0000 90.3000 
53772 2018 7 17 24.7000 86.5000 
53772 2018 7 18 27.4000 81.3000 
53772 2018 7 19 27.5000 75.8000 
53772 2018 7 20 28.1000 74.3000 
53772 2018 7 21 28.2000 73.0000 
53772 2018 7 22 26.2000 78.0000 
53772 2018 7 23 26.2000 70.8000 
53772 2018 7 24 26.2000 68.8000 
53772 2018 7 25 24.9000 66.3000 
53772 2018 7 26 27.0000 68.3000 
53772 2018 7 27 24.9000 80.3000 
53772 2018 7 28 26.2000 68.0000 
53772 2018 7 29 26.3000 69.8000 
53772 2018 7 30 27.0000 70.3000 
53772 2018 7 31 25.5000 78.3000 
53772 2018 8 1 26.8000 73.5000 
53772 2018 8 2 27.6000 70.0000 
53772 2018 8 3 27.4000 71.3000 
53772 2018 8 4 27.9000 67.3000 
53772 2018 8 5 26.3000 75.5000 
53772 2018 8 6 27.2000 71.8000 
53772 2018 8 7 27.2000 76.5000 
53772 2018 8 8 25.8000 78.3000 
53772 2018 8 9 25.6000 76.0000 
53772 2018 8 10 25.1000 78.3000 
53772 2018 8 11 24.7000 85.8000 
53772 2018 8 12 25.9000 75.8000 
53772 2018 8 13 24.8000 84.3000 
53772 2018 8 14 26.0000 72.5000 
53772 2018 8 15 26.1000 62.8000 
53772 2018 8 16 23.6000 68.8000 
53772 2018 8 17 25.2000 60.3000 
53772 2018 8 18 24.2000 60.3000 
53772 2018 8 19 22.9000 73.8000 
53772 2018 8 20 24.1000 69.5000 
53772 2018 8 21 22.8000 66.0000 
